site_id,cell_id,lon,lat
s160,40131,29.566772999999998,-19.839425
s160,40133,29.566772999999998,-19.839425
s161,22281,29.783862,-19.674259
s161,22282,29.783862,-19.674259
s161,22283,29.783862,-19.674259
s161,40431,29.783862,-19.674259
s161,40432,29.783862,-19.674259
s161,40433,29.783862,-19.674259
s162,12811,28.839100000000002,-19.566670000000002
s162,12812,28.839100000000002,-19.566670000000002
s162,12813,28.839100000000002,-19.566670000000002
s162,35091,28.839100000000002,-19.566670000000002
s162,35096,28.839100000000002,-19.566670000000002
s162,35090,28.839100000000002,-19.566670000000002
s162,35092,28.839100000000002,-19.566670000000002
s162,35097,28.839100000000002,-19.566670000000002
s162,35095,28.839100000000002,-19.566670000000002
s162,35093,28.839100000000002,-19.566670000000002
s162,35098,28.839100000000002,-19.566670000000002
s162,35099,28.839100000000002,-19.566670000000002
s162,35094,28.839100000000002,-19.566670000000002
s162,35629,28.839100000000002,-19.566670000000002
s162,35624,28.839100000000002,-19.566670000000002
s163,14141,28.7337,-19.546590000000002
s163,14142,28.7337,-19.546590000000002
s163,14143,28.7337,-19.546590000000002
s163,14148,28.7337,-19.546590000000002
s163,34791,28.7337,-19.546590000000002
s163,34796,28.7337,-19.546590000000002
s163,34790,28.7337,-19.546590000000002
s163,34792,28.7337,-19.546590000000002
s163,34797,28.7337,-19.546590000000002
s163,34795,28.7337,-19.546590000000002
s163,34793,28.7337,-19.546590000000002
s163,34798,28.7337,-19.546590000000002
s163,34799,28.7337,-19.546590000000002
s164,14021,28.7336,-19.51143
s164,14022,28.7336,-19.51143
s164,14023,28.7336,-19.51143
s164,34611,28.7336,-19.51143
s164,34616,28.7336,-19.51143
s164,34610,28.7336,-19.51143
s164,34612,28.7336,-19.51143
s164,34617,28.7336,-19.51143
s164,34615,28.7336,-19.51143
s164,34613,28.7336,-19.51143
s164,34618,28.7336,-19.51143
s164,34619,28.7336,-19.51143
s165,14181,28.734017,-19.507542
s165,14182,28.734017,-19.507542
s165,14183,28.734017,-19.507542
s165,34251,28.734017,-19.507542
s165,34256,28.734017,-19.507542
s165,34250,28.734017,-19.507542
s165,34252,28.734017,-19.507542
s165,34257,28.734017,-19.507542
s165,34255,28.734017,-19.507542
s165,34253,28.734017,-19.507542
s165,34258,28.734017,-19.507542
s165,34259,28.734017,-19.507542
s166,20741,31.343338,-19.85608
s166,20742,31.343338,-19.85608
s166,20743,31.343338,-19.85608
s167,22431,31.060937,-19.93486
s167,22432,31.060937,-19.93486
